Company Name,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year
3M India Ltd.,5929,647.7,112.7,14767.8,2295.3,14703.9,13998.1,9363.5,9363.5,3007.4,647.7,14712.3,238386.91,-709.6,208.9,3/31/2012,6451.7,522.7,112.7,16629.9,1825,16128.8,15313.6,13664.5,13664.5,6784.6,522.7,16524.9,234413.15,-1409.5,637.9,3/31/2013,6881.6,429.9,112.7,18401.5,2303.9,18065.2,16901.9,14367.6,14367.6,7006.8,429.9,18180.9,232855.19,-472.3,1204,3/31/2014,7964.5,1083.4,112.7,19434.6,4052.7,18667.3,17395.1,15336.1,15336.1,3627.9,1083.4,19278.9,230561.06,-43,1773.6,3/31/2015,9768.1,1947.6,112.7,22435,6405.4,20598.3,18749.8,14994.9,14994.9,4662.8,1947.6,22237.5,229219.95,13.9,2609.1,3/31/2016,12151.3,2407.6,112.7,25073.2,8482,22770.5,20991.3,19855.8,19855.8,7065.1,2407.6,24578.5,224578.18,120.1,3649.2,3/31/2017,15254.1,3105.4,112.7,26240.3,11702.2,23256.5,21052.3,21943.7,21943.7,6077.9,3105.4,25804.1,227761.69,179.9,294.2,3/31/2018,18482.6,3229.9,112.7,28415.9,8757.1,25324.8,22925.2,25605.1,25605.1,6445.8,3229.9,28087.6,223233.7,-5898.3,2673.2,3/31/2019,20634.9,2189.7,112.7,29230.6,11319.1,27123.2,24407.9,27201.9,27201.9,5859.1,2189.7,28757.4,221905.54,14.2,2183.3,3/31/2020,22102.4,1493,112.7,25245.9,12544.6,23544.1,22315.6,29766.8,29766.8,6959,1493,24977.2,220571.2,-159.1,3120.6,3/31/2021
A B B India Ltd.,25556.7,635.3,423.8,80334.1,10019.8,78966.9,75699.2,85908.8,85908.8,39720.9,1374.1,80263.6,498058.85,-3397.6,-502.2,12/31/2012,26351.8,1020.2,423.8,82037.6,8833.5,80398.5,76390.2,93511.1,93511.1,44747.3,1768.9,81967.7,487866.06,-2196.5,3300.9,12/31/2013,27696,1344.2,423.8,81741.9,10167.9,79017,74469.6,91814.2,91814.2,41031.6,2285.1,81569.1,497921.11,-1476.6,4790,12/31/2014,29661.7,2055.1,423.8,86837.4,18947.2,84324.2,78808.1,99896.5,99896.5,39284.8,2998.8,86707,495632.5,-763.9,3816.7,12/31/2015,32443.2,2801,423.8,93050.9,21068,88639.8,82275.1,84740.6,84740.6,40411.4,3744.7,91835.2,495113.32,-681.4,8625.7,12/31/2016,35645.1,3179.3,423.8,95056.8,16238.4,91282.4,58001.1,96143.7,96143.7,55094.8,4199.5,62874.9,491701.6,-3205.3,7916.6,12/31/2017,39649.4,3984.8,423.8,109760.7,23728.3,105155.6,61541,96050,96050,51989.8,5108.9,67006.2,488353.45,1437.1,6254.6,12/31/2018,34777.3,1807.7,423.8,83330.8,17711.6,80564.1,67417.1,80940.1,80940.1,42369,3034,73150.6,475734.3,-3906.8,6668.7,12/31/2019,35640,1175,423.8,60073.6,20152,57668.6,54145.9,80017.3,80017.3,40597.4,2192.2,58209.5,459576.29,4424.4,3182.2,12/31/2020,40028.1,4137.6,423.8,72642,24935.1,67778.5,63865.5,84151.7,84151.7,41047.7,5197.1,69340,464524.35,-20078.7,6492.4,12/31/2021
A C C Ltd.,71948.5,4065.8,1877.5,129788.7,11619.2,118976.6,104238.4,121427.1,121427.1,34765.5,10611.9,125071.7,401507.95,-3062.5,15770,12/31/2012,76368.9,4340.4,1877.5,129764.6,6339.5,118769.3,108027.8,123517.2,123517.2,36751.9,10930,124578.2,400935.2,-8577.4,10562.3,12/31/2013,80476.6,4107.7,1877.5,136856.9,-3783.4,125286.8,115913.8,129204.7,129204.7,38119.2,11682.9,130623.3,401489.17,-14366.9,13317,12/31/2014,82550.9,3606,1877.5,133600.6,-5391.1,126152.7,116566.7,130591.7,130591.7,38436.2,7447.4,132300.5,400944.59,-9481.7,14612.4,12/31/2015,86438.8,2628.6,1877.9,126517.3,-2469.7,119876.9,110409.5,138178,138178,40559.6,6470.5,124338.2,397714.64,-5391,13801,12/31/2016,91774.7,5312.2,1877.9,143318.4,3106,134312.9,123048.6,152517.5,152517.5,48754.2,9154.5,140378.1,396897.77,-3845.8,15547.6,12/31/2017,103396.7,11670.5,1877.9,154404.8,11412.5,140588.3,128802.7,162938.1,162938.1,47238.5,15066.3,147767.6,397601.97,-3677.8,11180.8,12/31/2018,113326.6,10419.7,1877.9,159678.6,23018.9,145081.4,131273.9,174282.7,174282.7,47319.9,13589.1,156471.7,391076.36,-3283.2,22483.5,12/31/2019,124701.6,11520.4,1877.9,139966.3,30071.1,124392.8,111323,184552.6,184552.6,48659.9,14149.4,137787.4,385930.99,-5365.9,22155.7,12/31/2020,140329.7,15573.7,1877.9,163669.8,36425.7,147209.6,133404.6,212289.3,212289.3,60543.1,18202.7,161440.2,386935.66,-9890.1,28316.2,12/31/2021
A I A Engineering Ltd.,9398.7,1180.3,188.6,13301.4,4978.7,12009.6,11017.7,11426,11426,1606.6,1509.1,13185,203416.03,-560.5,535.8,3/31/2012,10648.6,1249.9,188.6,16633.3,6221.3,14894.9,13519.7,14308.4,14308.4,2170.2,1691,16448.8,204915.72,-1189.6,1654.4,3/31/2013,12931.9,2188.7,188.6,18762.5,7902.1,15989.4,13792,16921.8,16921.8,2668.1,2850.4,18446.3,200874.09,-4278.5,3795.8,3/31/2014,16327.8,3237.7,188.6,22866.7,9422,18748.5,16404.2,20245.2,20245.2,2844.2,4145.7,21504.4,197780.38,-1958.8,3246.9,3/31/2015,20324.9,3270.3,188.6,22441.7,12821.5,16292.9,13680.3,24324.3,24324.3,2912.2,6156.3,18856.2,194257.52,-2116.9,3355.7,3/31/2016,24032.1,3730.2,188.6,22612.9,16099.1,18968,16153.8,28393.7,28393.7,3245.6,4173.1,21224,192927.6,154.1,493.2,3/31/2017,27414,3369.8,188.6,23947.4,18570.9,19795.5,17525.9,32068.9,32068.9,3590.4,4699.1,21658.2,199063.14,-642,2401.2,3/31/2018,31571.8,4148.2,188.6,29583.3,21914.6,26319.7,23543.2,36094.2,36094.2,3115.9,4148.2,28396.5,196964.51,-1611.4,1468.9,3/31/2019,35933.9,4335.8,188.6,30747,26108.7,21976.2,19691.1,39984.8,39984.8,2886.4,8325.3,25892.3,196761.72,-426.2,4915.3,3/31/2020,40755.6,4849,188.6,26183.7,28278.5,21459,18846.6,45352.3,45352.3,3698.7,4849,24735.7,197487.99,-3201.9,4303.9,3/31/2021
A P L Apollo Tubes Ltd.,2369.1,237.8,213,11664.1,65.4,11325.7,10891.1,5559,5559,2213.9,287.5,11658.4,242096.33,-624.4,292.1,3/31/2012,2744.7,216.9,223.2,17548.3,-50.2,17683,17081.4,7332.2,7332.2,3568.6,346.6,17538,238842.68,-461.7,-284,3/31/2013,3020.9,125.7,234.4,21878.2,27.6,22004.9,21311.7,8263.8,8263.8,3713.2,261.9,21856.6,241408.06,-696.2,541.4,3/31/2014,3183.8,163,234.4,23140.1,-591.1,22662.9,21913.4,8845.9,8845.9,3869.3,314.5,23019.7,236239.76,-753.7,1376.2,3/31/2015,3237.9,54.1,234.4,32354.5,99,32167.6,31010.2,10689.3,10689.3,5290.4,308.3,32187,227267.21,-450.6,360.4,3/31/2016,7871.4,601.9,235.9,34431.2,-1334.6,33497.2,32074.7,18730.4,18730.4,8792.4,883.2,34331.7,219145.61,-1814.4,3770.7,3/31/2017,8818.6,842.6,237.3,44732,-1748.9,44330.6,42540.7,22117.3,22117.3,11062.7,1126.9,44311.7,231922.43,-1320.2,-599.3,3/31/2018,9839.3,931.3,238.5,59133.4,-410.3,58658.6,56564.8,26679.9,26679.9,13663.9,1263.9,58684.7,223325.29,-1231.2,2675.5,3/31/2019,12503.7,740.8,248.7,59596,812.2,59181.9,57640.7,26726.1,26726.1,9308.9,1150.1,59308.1,214490.39,-1637,3049.3,3/31/2020,14238.1,1537.8,249.8,60520.7,1405.1,59185.3,57423.9,29645.8,29645.8,10627.2,1537.8,60079.6,215441.45,-5450.8,6178.8,3/31/2021
A U Small Finance Bank Ltd.,3019,501.1,183.7,2534.2,-4349.7,2033.1,648.4,11681.4,11681.4,5016.8,501.1,,400845.86,-302.4,-4409.4,3/31/2012,4250.7,802.1,404.7,4408.6,-610.7,3606.5,908.6,31411.9,31411.9,11847.9,802.1,,396655.12,-6808.5,-6823.4,3/31/2013,5983,923.9,429.6,6186.6,-9466,5262.7,1065.6,30151.9,30151.9,10570.5,923.9,,386430.34,5727.8,-4829.6,3/31/2014,7666.7,1402.3,440.8,7191.9,-12910.4,5789.6,1395.8,40367.9,40367.9,15632.4,1402.3,,380033.95,-227.1,-8108.2,3/31/2015,9653.6,2116.2,440.8,10351.4,-20068.7,8235.2,2390.8,62955.5,62955.5,23727.6,2116.2,,370833.23,-333.7,-19380.4,3/31/2016,17033.4,8219.8,2842.5,20899.7,1035.4,12679.9,3470.6,97812.3,97812.3,6735.8,8219.8,,380317.53,5524.4,-24048.6,3/31/2017,19954.9,2920.4,2857,21558.5,11045.2,18638.1,6993.6,188516.6,188516.6,9894,2920.4,,394843.33,-18895.5,25047.7,3/31/2018,26955.3,3643.3,2923.6,34129.1,8182,30311,10208.6,326608.4,326608.4,14241.2,3818.1,,393645.98,-23045.9,8477.6,3/31/2019,40726.8,6483.4,3041.2,49931.2,27922.2,43183.4,13292.3,421853.8,421853.8,12670,6747.8,,392952.77,-12674.5,6595.8,3/31/2020,59630,11706.8,3122.1,64388.5,34031.9,52681.7,15540.6,516496.2,516496.2,23070.8,11706.8,,386966,-9897.5,50561.2,3/31/2021
Aarti Drugs Ltd.,1643.7,145.7,121.1,7022.6,-138.2,6815.7,6196,6126.2,6126.2,3370.3,216,6991.8,38956.82,-477.5,444.3,3/31/2012,1955,311.3,121.1,8866.6,129.3,8640.1,7850.7,7197.3,7197.3,3910.1,452.4,8857.5,40174.51,-580.4,723.1,3/31/2013,2387.9,432.9,121.1,10496.2,-272.9,9822.3,8881.8,8497.3,8497.3,4796.8,617.1,10443.5,39818,-1046.7,954.3,3/31/2014,2794.9,543.3,242.2,11748.6,357.7,11208.4,10230,9669.3,9669.3,4644,776,11699.4,39567.98,-1023.1,1068.3,3/31/2015,3261,466.1,242.2,11708.8,336.3,11098.3,9983,10547.1,10547.1,4770.8,662.9,11661,38910.52,-874.1,1252.8,3/31/2016,3631.1,754.8,238.6,11915,352.8,11123.7,9998,11161.2,11161.2,4491.8,754.8,11859.3,38563.27,-962.9,1744,3/31/2017,4095.9,705.3,235.8,11608.3,564.4,11430.2,10287.9,13169.9,13169.9,5892.4,734.1,11596.6,38878.11,-710.9,619.4,3/31/2018,4950.1,844.2,235.8,14616.1,1461.8,13553,12322,13733.4,13733.4,5477.7,872.6,14542.5,38137.31,-593.3,1473,3/31/2019,5984.8,1272.4,233,16443.6,2435,15626.3,14382.5,14721.5,14721.5,5559.5,1356.7,16349.2,37248.35,-293.5,1961.5,3/31/2020,7664.1,2344.1,932,19245.8,4003.8,16759.5,15195.3,16394.6,16394.6,5243.4,2577.1,19148.9,35748.23,-689.3,1540.7,3/31/2021
Aarti Industries Ltd.,4730.9,557.1,395.6,17897.1,314.5,17260.6,15630.8,15696.8,15696.8,7250.1,871.9,17848,255275.34,-1309,1194.5,3/31/2012,6323.5,900.6,395.6,22823.1,-704,22220.4,19876.9,20728.9,20728.9,9914.3,1313.4,22713.1,253752.82,-2185.8,2167.4,3/31/2013,7344.1,1020.6,443,28371.4,-810.7,27504.9,24895.9,25648.8,25648.8,11837,1487,28233.5,257359.74,-2709.3,2922.4,3/31/2014,8635.4,1292.8,443,30902.1,-283.2,28851.9,26104.9,28196.5,28196.5,10893.3,1878,30847.4,258701,-3226.9,3569.7,3/31/2015,10520.3,1498.2,416.6,29432.7,-455.5,26365.6,23420.6,28366.6,28366.6,10978.5,2524.3,29338.7,254242.2,-4241.4,5497.7,3/31/2016,12690.3,3066.8,410.6,30527.3,-1615,27761.2,24717.4,33428.2,33428.2,12932.4,3066.8,30487.5,256779.73,-4700.3,4108.1,3/31/2017,14745.2,3065.6,406.5,37014.4,-1218.9,34547.4,31101.4,41815,41815,15455.4,3164.4,36990.3,258737.25,-5735.9,3120.5,3/31/2018,25170.8,4306.1,433.3,45523.4,5115.1,41186.1,36734.3,56278.6,56278.6,18852.6,4812.8,45478.8,250780.29,-7661.6,7003.3,3/31/2019,28147,3977.1,871.2,44189.8,-475.3,39117.1,34935.2,60925.2,60925.2,18699.4,5233.6,44081.9,249801.53,-11085.7,10646.1,3/31/2020,33246.1,4699.4,871.2,48097.7,-2488.8,43616.8,39378.6,75188,75188,23985.6,5135,46605.7,249674.65,-13065.4,8438.7,3/31/2021
Aavas Financiers Ltd.,-0.4,0,272.5,4.3,265,4.3,0.7,272.7,272.7,0.5,0,,163512.07,-64.3,-6.5,3/31/2012,18.6,18.9,272.5,175.9,-493,157,68.3,1869.2,1869.2,555.2,18.9,123.9,161502.52,-1.1,-1724.9,3/31/2013,263.5,71.9,299.2,573.3,-967.6,501.4,155.6,4186.4,4186.4,1028.3,71.9,,162205.27,9.7,-2202.9,3/31/2014,685.2,190.8,329.2,1081.9,-1988.6,891.1,213.6,8644.6,8644.6,2277.2,190.8,,161119.56,-10.3,-3642,3/31/2015,1647.2,320.6,383.8,2010.9,-392.1,1690.3,452.9,17141.8,17141.8,2895.2,320.6,,158723.1,-15,-5961,3/31/2016,5081.7,578.5,581.6,3142.8,-490,2564.3,643.3,24543.3,24543.3,3546.5,578.5,,157830.84,-153.8,-5906.6,3/31/2017,11204.9,930.9,691.8,4944.6,5376.1,4013.7,1550,40756.4,40756.4,1094.5,930.9,,158557.28,-2175.9,-9329,3/31/2018,17588.4,1759.1,781.1,7109.8,7083.6,5350.7,1743.8,56506.4,56506.4,1069.4,1759.1,,154561.86,-3271.8,-12760.9,3/31/2019,20195.9,2491.2,783.2,9030.9,11976.1,6539.7,2051.7,76937.1,76937.1,1667.4,2491.2,,152039.07,-3417.4,-11722.6,3/31/2020,23228.9,2895,785,11053.3,12040.5,8158.3,2298.3,90341.7,90341.7,2027.7,2895,,153140.57,-2652.2,-10707.1,3/31/2021
Abbott India Ltd.,5229,785.5,212.5,15235.3,4296.7,14766.5,13948.6,13739,13739,5889.6,1205.3,15034.9,376951.99,562,240.7,12/31/2011,6256.2,1027.2,212.5,17230.4,5097.2,15696.1,14555.4,15593.1,15593.1,5094.3,1447,16708.7,382202.7,-585.1,1013.5,12/31/2012,7665.9,1409.9,212.5,23565,6642.1,22386.6,21064.2,19076.9,19076.9,6641.2,1984.5,23036.2,383270.47,-1439,1553,3/31/2014,9162.8,1496.8,212.5,23594,8099.7,21717.7,20336.8,22321.2,22321.2,8469.4,2289.6,22883.5,385969.13,-1867.2,2147.8,3/31/2015,11743.5,1759.7,212.5,26922.1,10266.9,24221,22580.7,16385.9,16385.9,3943.3,2552.5,26399.2,380620.68,-771.9,2486.7,3/31/2016,13657,1871.4,212.5,29988.6,11994.4,28236.5,26356,20869.1,20869.1,6434.1,2766.5,29327.1,376659.81,-1554.2,3072.3,3/31/2017,16715.2,2989.2,212.5,34268.4,13191,31278.2,28788.1,24432.1,24432.1,6794.6,4012.2,33515,380327.44,-2148.3,1527,3/31/2018,19873.4,3094.4,212.5,37951.7,18090.3,33470.2,30711.2,29694.9,29694.9,8680.8,4503.3,36776.1,379934.33,-2570,4991.2,3/31/2019,24104.5,4264.2,212.5,42284.7,22675.2,35743,32873.6,35712.2,35712.2,9024.1,5929.3,41143,380237.13,-4012.1,6261.3,3/31/2020,25809.1,1594.6,212.5,44151.4,24441.7,38284.5,35062.6,38657.9,38657.9,10424,6906.9,43312.2,379097.11,-718.2,7267.4,3/31/2021
