Company Name,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions
A E C Enterprises Ltd.,,,,,,,,,,,2.42,,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,2.42,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,1.81,,,,,,0.34,7.36,0.1,3/31/1995,27.87,7.32,7.07,63.19,63.19,7.21,1.51,,,0.19,0.22,2.5,30.95,8.92,29.94,3/31/1996,2.75,9.81,9.72,68.76,68.76,8.52,1.66,-30.45,-1.24,0.77,0.77,2.5,31.48,13.09,29.95,3/31/1997,1.26,16.36,13.35,79.9,79.9,11.14,1.36,-8.72,-0.48,0.52,0.52,4.2,9.47,22.77,29.95,6/30/1998,-4.13,44.68,30.32,70.9,70.9,22.5,1.06,3.41,-7.31,-22.01,-22.01,8.56
Abhinandan Tradex Ltd.,8.35,1.97,0.2,3/31/2012,2.92,0.11,0.1,38.36,38.36,,,-7.76,-0.1,1.86,1.86,1.94,10.02,1.8,0.2,3/31/2013,-3.51,0.13,0.07,47.88,47.88,,,-7.77,7.71,1.67,1.67,9.79,4.27,3.21,0.2,3/31/2014,-7.6,8.95,0.03,44.19,44.19,,,-1.82,2.32,-5.74,-5.74,11.85,3.89,0.13,0.2,3/31/2015,-7.06,0.51,0.12,43.38,43.38,,,0.05,0.32,-0.38,-0.38,11.42,7.22,0.38,0.2,3/31/2016,-0.86,0.59,0.12,45.59,45.59,,,5.95,-2.36,-0.21,-0.21,13.54,7.36,0.72,0.2,3/31/2017,-20.47,0.58,0.03,45.96,45.96,,,0.64,-0.15,0.14,0.14,33.54,3.85,0.7,0.2,3/31/2018,-19.88,4.21,0.03,40.27,40.27,,,1.32,0.69,-3.51,-3.51,31.36,4.01,0.37,0.2,3/31/2019,-10.03,0.22,0.02,27.79,27.79,,,10.06,2.44,0.15,0.15,18.72,4.03,0.06,0.2,3/31/2020,-5.05,0.05,0.03,22.95,22.95,,,5.03,-0.16,0.01,0.01,13.86,4.15,0.21,0.2,3/31/2021,-4.9,0.08,0.01,22.92,22.92,0.01,,0.17,0,0.13,0.13,13.71
Advance Powerinfra Tech Ltd.,0.95,0.21,3.75,3/31/2009,0.22,0.19,0.19,5.79,5.79,0.14,1.28,0.23,0.51,0.02,0.02,1.04,0.94,0.04,3.75,3/31/2010,0.26,0.05,0.05,4.94,4.94,,1.28,,-0.67,-0.01,-0.01,0.23,0.94,0.09,3.75,3/31/2011,0.44,0.09,0.08,4.8,4.8,,1.28,,0.03,0,0,0.03,4.4,12.27,11.64,6/30/2012,7.33,12.22,11.74,24.67,24.67,11.69,1.34,-16.5,4.98,0.05,0.05,4.64,4.48,3.97,11.64,3/31/2013,7.37,3.91,3.7,23.42,23.42,3.72,1.4,0.14,0.4,0.08,0.08,3.75,4.55,13.27,11.64,3/31/2014,7.95,13.05,12.92,27.24,27.24,13.03,1.47,-9.72,9.84,0.08,0.08,7.71,4.62,12.85,11.64,3/31/2015,6.1,12.33,12.24,22.83,22.83,11.94,1.47,0.37,-0.38,0.07,0.07,5.8,5,11.32,11.64,3/31/2016,7.36,10.7,10.25,23.82,23.82,10.62,1.47,0.37,-0.03,0.38,0.38,6.56,3.1,13.96,11.64,3/31/2017,8.53,14.4,14.32,19.22,19.22,13.65,1.54,2.11,-3.03,-0.74,-0.74,3.02,-11.21,71.05,11.64,3/31/2018,-0.78,85.26,80.67,57.56,57.56,70.98,1.54,0.43,0.07,-14.21,-14.21,55.67
Allied Blenders & Distillers Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.24,8.97,0.05,3/31/2004,-42.99,10.79,8.57,40.82,40.82,8.96,,,,-1.82,-1.82,50.85,-23.72,6.56,0.05,3/31/2005,-48.63,20.04,9.97,25.07,25.07,3.97,,,,-13.48,-13.48,48.7,-29.05,218.3,0.05,3/31/2007,-38.65,213.98,206.43,141.26,141.26,207.99,,-0.84,-0.85,6.17,6.17,67.88,19,297.96,8.21,3/31/2008,-32.72,301.89,290.47,155.58,155.58,290.21,,-8.17,-9.28,-4.12,-4.12,54.54,250.36,8946.86,47.11,3/31/2019,-360.55,8967.6,8647.28,2689.42,2689.42,8934.67,,-161.07,157.42,10.32,10.32,2083.81,332.96,8148.23,47.11,3/31/2020,-278.02,8115.76,7878.07,2457.14,2457.14,8130.36,,-43,592.34,14.91,14.91,1782.03,338.32,6417.49,47.11,3/31/2021,-325.09,6384.91,6173.3,2358.52,2358.52,6396.3,,-59.31,247.03,5.71,5.71,1721.81
Anil Ltd.,36.77,216.98,7.4,3/31/2007,-11.54,211.93,197.52,172.88,172.88,215.26,30.13,-16.35,6.9,4.83,5.48,52.83,43.31,244.7,7.4,3/31/2008,6.66,241.7,222.71,189.3,189.3,239.26,29.05,-12.7,11.91,6.59,7.24,48.46,48.49,290.04,7.4,3/31/2009,33.69,272.81,253.19,239.52,239.52,287.39,27.93,-12.2,-7.72,9.64,10.51,52.17,83.17,384.27,9.77,3/31/2010,83.56,376.2,347.63,378.59,378.59,383.8,28.27,-42.79,-34.63,22.85,24,64.91,121.15,522.87,9.77,3/31/2011,75.06,494.13,445.42,495.08,495.08,521.77,29.54,-68.45,35.57,37.98,40.25,209.1,164.53,621.88,9.77,3/31/2012,48.24,587.36,518.13,647.16,647.16,621.17,31.01,-37.46,40.71,43.38,47.12,360.22,204.55,731.45,9.77,3/31/2013,80.71,696.89,618.9,804.65,804.65,729.08,32.52,-48.42,5.62,40.03,45.62,402.21,247.02,850.36,9.77,3/31/2014,120.64,809.02,709.99,964.89,964.89,848.65,31.2,-68.86,28.41,42.47,48.34,459.58,292.86,959.02,9.77,3/31/2015,228.83,905.87,793.22,1094.08,1094.08,954.78,29.69,-72.66,79.84,48.85,54.93,423.18,343.53,1165.97,9.77,3/31/2016,246.61,1162.95,1026.16,1353.4,1353.4,1163.93,28.22,-185.6,65.45,50.68,55.59,480.9
Apex Auto Pvt. Ltd.,40.05,139.46,5.22,3/31/2011,-0.86,130.34,112.47,108.63,108.63,139.21,,,,9.22,9.93,39.23,51.79,180.71,5.22,3/31/2012,-3.69,171.65,151.04,168.52,168.52,180.21,,,,11.73,12.44,67.77,55.74,189.26,5.38,3/31/2013,0.24,197.19,174.96,196.11,196.11,188.81,,-41.38,15.75,-0.45,0.1,70.53,46.15,124.92,5.38,3/31/2014,-2.8,130.08,115.59,175.05,175.05,124.52,,-3.02,22.4,-10.05,-10.05,57.78,38.25,119.78,5.53,3/31/2015,3.37,130.14,112.39,179.1,179.1,119.57,,-1.06,7.94,-9.89,-9.89,60.3,27.07,109.64,5.53,3/31/2016,-3.72,120.14,99.99,180.11,180.11,109.38,,-1.06,9.19,-11.17,-11.17,70.65,55.35,157.43,5.53,3/31/2017,-10.89,159.54,138.72,206.61,206.61,157.17,,-5.98,30.54,-1.9,-1.9,73.54,59.51,190.65,5.53,3/31/2018,-11.69,188.49,164.75,199.94,199.94,190.05,,-0.69,30.45,4.15,4.15,76.62,67.52,255.19,5.53,3/31/2019,-0.48,239.54,214.03,187.18,187.18,248.38,,7.33,30.06,11.55,12.58,65.87,75.91,184.54,5.53,3/31/2020,0.77,176.24,153.73,188.66,188.66,184.05,,-14.58,23.97,6.36,6.36,55.26
Aplaya Creations Ltd.,0.52,0.05,0.25,3/31/2010,0.35,0.03,0.01,0.81,0.81,,4.46,0.02,-0.14,0.02,0.02,0.04,0.78,0.28,0.27,3/31/2011,0.23,0.25,0.18,1.19,1.19,0.24,4.6,-0.57,0.18,0.03,0.03,0.14,0.86,0.2,0.27,3/31/2012,0.45,0.12,0.1,1.27,1.27,0.15,4.75,-0.01,0.08,0.08,0.08,0.14,0.89,0.14,0.27,3/31/2013,2.29,0.1,0.09,6.45,6.45,,4.89,-0.28,-3.02,0.04,0.04,0.16,7.8,0.15,14.38,3/31/2014,0.73,0.3,0.14,22.39,22.39,,5.03,0.4,-18.56,-0.15,-0.15,0.21,8.08,11.85,14.38,3/31/2015,14.8,12.13,11.97,26.75,26.75,11.41,5.18,-1.87,1.88,0.28,0.28,4.29,8.17,21.43,14.38,3/31/2016,21.23,21.41,21.29,24.5,24.5,20.75,5.32,0.49,-0.27,0.09,0.09,1.95,8.2,10.75,14.38,3/31/2017,22.56,10.31,10.21,22.96,22.96,10.28,5.46,1.49,-1.62,0.02,0.02,0.38,8.22,11.7,14.38,3/31/2018,22.45,11.63,11.57,32.29,32.29,11.46,5.61,0.24,-0.15,0.02,0.02,9.69,8.52,147.13,14.38,3/31/2019,22.64,147.07,146.92,119.31,119.31,146.81,5.75,0.02,0.91,0.3,0.3,96.41
Ardor International Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.36,902.14,42.5,3/31/2011,114.79,891.21,869.76,329.34,329.34,,,-17.78,-30.58,10.93,10.93,189.35,37.63,1098.96,105,3/31/2012,194.81,1104.17,1080.3,504.09,504.09,,,1.44,0.75,14.27,14.27,280.96,63.71,1995.06,145,3/31/2013,268.81,2122.6,2073.85,857.5,857.5,1989.28,,-37.08,-252.14,26.08,26.08,517.39,96.96,2867.98,195,3/31/2014,302.73,2716.77,2644.19,981.39,981.39,2864.8,,1.41,-67.65,33.25,33.25,606.09,105.4,3545.7,215,3/31/2015,462.77,3577.73,3509.65,1158.52,1158.52,3543.98,,1.25,-291.56,8.7,8.7,626.38
Arihant Cotsyn Ltd.,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,1.24,,,,,,0.45,3.04,8.82,3/31/1991,-0.46,4.82,4.44,24.61,24.61,2.85,1.11,,,0.25,0.25,2.79,1.18,18.32,8.82,3/31/1992,12.02,17.46,13.17,42.19,42.19,17.07,1.11,,,0.73,0.73,3.62,4.47,30.11,15.14,3/31/1994,20.25,28.67,21.93,93.22,93.22,25.2,1.11,,,2.05,2.05,3.1,6.67,43.1,15.14,3/31/1995,23.05,42.61,32.21,107.23,107.23,35.69,1.24,,,2.2,2.2,3.88,9.3,60.47,15.14,3/31/1996,26.2,61.31,47.29,124.05,124.05,47.5,1.11,,,2.63,2.63,4.18,21.05,64.05,27.59,3/31/1997,32.32,64.54,50.02,150.17,150.17,50.25,1.11,4.04,-5.2,1.07,1.07,6.31,36.85,58.14,27.59,3/31/1998,28.88,66.57,50.75,177.14,177.14,55.22,1.11,-6.54,5.13,-9.69,-9.69,6.66
Arise India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.45,440.73,5.71,3/31/2011,38.79,465.07,455.49,142.94,142.94,440.72,,,,10.03,10.03,83.16,93.94,676.77,6.89,3/31/2012,77.04,731.99,703.97,312.3,312.3,676.58,,,,25.02,25.02,199.69,145.04,858.26,7.82,3/31/2013,121.44,896.54,852.33,431.98,431.98,857.69,,,,33.52,33.52,261.58,220,1263.42,9.07,3/31/2014,165.9,1313.47,1237.31,680.01,680.01,1263.21,,-29.52,-79.9,51.1,51.1,407.21,308.31,1569.87,9.57,3/31/2015,197.81,1533.19,1428.78,870.47,870.47,1569.47,,-47.39,5.56,63.82,63.82,487.26
