,Year,Company,Paid up equity capital (net of forfeited equity capital),Reserves and funds,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Equity,Retained profits/losses during the year,Net working capital,Market Capitalisation,Operating expenses of non-finance cos
0,3/31/2012,3M India Ltd.,11.27,592.9,1476.78,1470.39,936.35,936.35,300.74,64.77,1471.23,20.89,-70.96,604.17,64.77,229.53,23285.52,1399.81
1,3/31/2013,3M India Ltd.,11.27,645.17,1662.99,1612.88,1366.45,1366.45,678.46,52.27,1652.49,63.79,-140.95,656.4399999999999,52.27,182.5,23056.11,1531.36
2,3/31/2014,3M India Ltd.,11.27,688.16,1840.15,1806.52,1436.76,1436.76,700.68,42.99,1818.09,120.4,-47.23,699.43,42.99,230.39,22922.0,1690.19
3,3/31/2015,3M India Ltd.,11.27,796.45,1943.46,1866.73,1533.61,1533.61,362.79,108.34,1927.89,177.36,-4.3,807.72,108.34,405.27,22457.82,1739.51
4,3/31/2016,3M India Ltd.,11.27,976.81,2243.5,2059.83,1499.49,1499.49,466.28,194.76,2223.75,260.91,1.39,988.0799999999999,194.76,640.54,22776.17,1874.98
5,3/31/2017,3M India Ltd.,11.27,1215.13,2507.32,2277.05,1985.58,1985.58,706.51,240.76,2457.85,364.92,12.01,1226.4,240.76,848.2,22323.37,2099.13
6,3/31/2018,3M India Ltd.,11.27,1525.41,2624.03,2325.65,2194.37,2194.37,607.79,310.54,2580.41,29.42,17.99,1536.68,310.54,1170.22,22190.55,2105.23
7,3/31/2019,3M India Ltd.,11.27,1848.26,2841.59,2532.48,2560.51,2560.51,644.58,322.99,2808.76,267.32,-589.83,1859.53,322.99,875.71,22057.12,2292.52
8,3/31/2020,3M India Ltd.,11.27,2063.49,2923.06,2712.32,2720.19,2720.19,585.91,218.97,2875.74,218.33,1.42,2074.7599999999998,218.97,1131.91,22500.4,2440.79
9,3/31/2021,3M India Ltd.,11.27,2210.24,2524.59,2354.41,2976.68,2976.68,695.9,149.3,2497.72,312.06,-15.91,2221.5099999999998,149.3,1254.46,22222.72,2231.56
10,12/31/2012,A B B India Ltd.,42.38,2555.67,8033.41,7896.69,8590.88,8590.88,3972.09,137.41,8026.36,-50.22,-339.76,2598.05,63.53,1001.98,49792.11,7569.92
11,12/31/2013,A B B India Ltd.,42.38,2635.18,8203.76,8039.85,9351.11,9351.11,4474.73,176.89,8196.77,330.09,-219.65,2677.56,102.02,883.35,49563.25,7639.02
12,12/31/2014,A B B India Ltd.,42.38,2769.6,8174.19,7901.7,9181.42,9181.42,4103.16,228.51,8156.91,479.0,-147.66,2811.98,134.42,1016.79,49511.33,7446.96
13,12/31/2015,A B B India Ltd.,42.38,2966.17,8683.74,8432.42,9989.65,9989.65,3928.48,299.88,8670.7,381.67,-76.39,3008.55,205.51,1894.72,49170.16,7880.81
14,12/31/2016,A B B India Ltd.,42.38,3244.32,9305.09,8863.98,8474.06,8474.06,4041.14,374.47,9183.52,862.57,-68.14,3286.7000000000003,280.1,2106.8,48835.34,8227.51
15,12/31/2017,A B B India Ltd.,42.38,3564.51,9505.68,9128.24,9614.37,9614.37,5509.48,419.95,6287.49,791.66,-320.53,3606.8900000000003,317.93,1623.84,47573.43,5800.11
16,12/31/2018,A B B India Ltd.,42.38,3964.94,10976.07,10515.56,9605.0,9605.0,5198.98,510.89,6700.62,625.46,143.71,4007.32,398.48,2372.83,45957.63,6154.1
17,12/31/2019,A B B India Ltd.,42.38,3477.73,8333.08,8056.41,8094.01,8094.01,4236.9,303.4,7315.06,666.87,-390.68,3520.11,180.77,1771.16,46452.43,6741.71
18,12/31/2020,A B B India Ltd.,42.38,3564.0,6007.36,5766.86,8001.73,8001.73,4059.74,219.22,5820.95,318.22,442.44,3606.38,117.5,2015.2,47244.97,5414.59
19,12/31/2021,A B B India Ltd.,42.38,4002.81,7264.2,6777.85,8415.17,8415.17,4104.77,519.71,6934.0,649.24,-2007.87,4045.19,413.76,2493.51,46939.82,6386.55
20,12/31/2012,A C C Ltd.,187.75,7194.85,12978.87,11897.66,12142.71,12142.71,3476.55,1061.19,12507.17,1577.0,-306.25,7382.6,406.58,1161.92,40148.92,10423.84
21,12/31/2013,A C C Ltd.,187.75,7636.89,12976.46,11876.93,12351.72,12351.72,3675.19,1093.0,12457.82,1056.23,-857.74,7824.64,434.04,633.95,40094.46,10802.78
22,12/31/2014,A C C Ltd.,187.75,8047.66,13685.69,12528.68,12920.47,12920.47,3811.92,1168.29,13062.33,1331.7,-1436.69,8235.41,410.77,-378.34,39771.46,11591.38
23,12/31/2015,A C C Ltd.,187.75,8255.09,13360.06,12615.27,13059.17,13059.17,3843.62,744.74,13230.05,1461.24,-948.17,8442.84,360.6,-539.11,39689.78,11656.67
24,12/31/2016,A C C Ltd.,187.79,8643.88,12651.73,11987.69,13817.8,13817.8,4055.96,647.05,12433.82,1380.1,-539.1,8831.67,262.86,-246.97,39760.2,11040.95
25,12/31/2017,A C C Ltd.,187.79,9177.47,14331.84,13431.29,15251.75,15251.75,4875.42,915.45,14037.81,1554.76,-384.58,9365.26,531.22,310.6,39107.64,12304.86
26,12/31/2018,A C C Ltd.,187.79,10339.67,15440.48,14058.83,16293.81,16293.81,4723.85,1506.63,14776.76,1118.08,-367.78,10527.460000000001,1167.05,1141.25,38593.1,12880.27
27,12/31/2019,A C C Ltd.,187.79,11332.66,15967.86,14508.14,17428.27,17428.27,4731.99,1358.91,15647.17,2248.35,-328.32,11520.45,1041.97,2301.89,38693.57,13127.39
28,12/31/2020,A C C Ltd.,187.79,12470.16,13996.63,12439.28,18455.26,18455.26,4865.99,1414.94,13778.74,2215.57,-536.59,12657.95,1152.04,3007.11,39159.28,11132.3
29,12/31/2021,A C C Ltd.,187.79,14032.97,16366.98,14720.96,21228.93,21228.93,6054.31,1820.27,16144.02,2831.62,-989.01,14220.76,1557.37,3642.57,38723.61,13340.46
30,3/31/2012,A I A Engineering Ltd.,18.86,939.87,1330.14,1200.96,1142.6,1142.6,160.66,150.91,1318.5,53.58,-56.05,958.73,118.03,497.87,20087.41,1101.77
31,3/31/2013,A I A Engineering Ltd.,18.86,1064.86,1663.33,1489.49,1430.84,1430.84,217.02,169.1,1644.88,165.44,-118.96,1083.7199999999998,124.99,622.13,19778.04,1351.97
32,3/31/2014,A I A Engineering Ltd.,18.86,1293.19,1876.25,1598.94,1692.18,1692.18,266.81,285.04,1844.63,379.58,-427.85,1312.05,218.87,790.21,19425.75,1379.2
33,3/31/2015,A I A Engineering Ltd.,18.86,1632.78,2286.67,1874.85,2024.52,2024.52,284.42,414.57,2150.44,324.69,-195.88,1651.6399999999999,323.77,942.2,19292.76,1640.42
34,3/31/2016,A I A Engineering Ltd.,18.86,2032.49,2244.17,1629.29,2432.43,2432.43,291.22,615.63,1885.62,335.57,-211.69,2051.35,327.03,1282.15,19906.31,1368.03
35,3/31/2017,A I A Engineering Ltd.,18.86,2403.21,2261.29,1896.8,2839.37,2839.37,324.56,417.31,2122.4,49.32,15.41,2422.07,373.02,1609.91,19696.45,1615.38
36,3/31/2018,A I A Engineering Ltd.,18.86,2741.4,2394.74,1979.55,3206.89,3206.89,359.04,469.91,2165.82,240.12,-64.2,2760.26,336.98,1857.09,19676.17,1752.59
37,3/31/2019,A I A Engineering Ltd.,18.86,3157.18,2958.33,2631.97,3609.42,3609.42,311.59,414.82,2839.65,146.89,-161.14,3176.04,414.82,2191.46,19748.8,2354.32
38,3/31/2020,A I A Engineering Ltd.,18.86,3593.39,3074.7,2197.62,3998.48,3998.48,288.64,832.53,2589.23,491.53,-42.62,3612.25,433.58,2610.87,20317.08,1969.11
39,3/31/2021,A I A Engineering Ltd.,18.86,4075.56,2618.37,2145.9,4535.23,4535.23,369.87,484.9,2473.57,430.39,-320.19,4094.42,484.9,2827.85,19764.36,1884.66
40,3/31/2012,A P L Apollo Tubes Ltd.,21.3,236.91,1166.41,1132.57,555.9,555.9,221.39,28.75,1165.84,29.21,-62.44,258.21,23.78,6.54,24140.81,1089.11
41,3/31/2013,A P L Apollo Tubes Ltd.,22.32,274.47,1754.83,1768.3,733.22,733.22,356.86,34.66,1753.8,-28.4,-46.17,296.79,21.69,-5.02,23623.98,1708.14
42,3/31/2014,A P L Apollo Tubes Ltd.,23.44,302.09,2187.82,2200.49,826.38,826.38,371.32,26.19,2185.66,54.14,-69.62,325.53,12.57,2.76,22726.72,2131.17
43,3/31/2015,A P L Apollo Tubes Ltd.,23.44,318.38,2314.01,2266.29,884.59,884.59,386.93,31.45,2301.97,137.62,-75.37,341.82,16.3,-59.11,21914.56,2191.34
44,3/31/2016,A P L Apollo Tubes Ltd.,23.44,323.79,3235.45,3216.76,1068.93,1068.93,529.04,30.83,3218.7,36.04,-45.06,347.23,5.41,9.9,23192.24,3101.02
45,3/31/2017,A P L Apollo Tubes Ltd.,23.59,787.14,3443.12,3349.72,1873.04,1873.04,879.24,88.32,3433.17,377.07,-181.44,810.73,60.19,-133.46,22332.53,3207.47
46,3/31/2018,A P L Apollo Tubes Ltd.,23.73,881.86,4473.2,4433.06,2211.73,2211.73,1106.27,112.69,4431.17,-59.93,-132.02,905.59,84.26,-174.89,21449.04,4254.07
47,3/31/2019,A P L Apollo Tubes Ltd.,23.85,983.93,5913.34,5865.86,2667.99,2667.99,1366.39,126.39,5868.47,267.55,-123.12,1007.78,93.13,-41.03,21544.15,5656.48
48,3/31/2020,A P L Apollo Tubes Ltd.,24.87,1250.37,5959.6,5918.19,2672.61,2672.61,930.89,115.01,5930.81,304.93,-163.7,1275.2399999999998,74.08,81.22,21673.04,5764.07
49,3/31/2021,A P L Apollo Tubes Ltd.,24.98,1423.81,6052.07,5918.53,2964.58,2964.58,1062.72,153.78,6007.96,617.88,-545.08,1448.79,153.78,140.51,21221.28,5742.39
50,3/31/2012,Aarti Drugs Ltd.,12.11,164.37,702.26,681.57,612.62,612.62,337.03,21.6,699.18,44.43,-47.75,176.48000000000002,14.57,-13.82,3981.8,619.6
51,3/31/2013,Aarti Drugs Ltd.,12.11,195.5,886.66,864.01,719.73,719.73,391.01,45.24,885.75,72.31,-58.04,207.61,31.13,12.93,3956.8,785.07
52,3/31/2014,Aarti Drugs Ltd.,12.11,238.79,1049.62,982.23,849.73,849.73,479.68,61.71,1044.35,95.43,-104.67,250.89999999999998,43.29,-27.29,3891.05,888.18
