,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity,D/E,ROE,Net income margin ratio,ROA,Liabilities to equity ratio,Investing cash flow to operating cash flow
0,11.27,592.9,3/31/2012,1476.78,1470.39,936.35,936.35,300.74,64.77,1471.23,20.89,-70.96,12.0,3M India Ltd.,604.17,1.5498121389675092,10.720492576592681,0.04402438775718276,0.0691728520318257,1.5498121389675092,-3.396840593585447
1,11.27,645.17,3/31/2013,1662.99,1612.88,1366.45,1366.45,678.46,52.27,1652.49,63.79,-140.95,12.0,3M India Ltd.,656.4399999999999,2.081606849064652,7.962647005057584,0.03163105374313915,0.03825240586922317,2.081606849064652,-2.2095939802476874
2,11.27,688.16,3/31/2014,1840.15,1806.52,1436.76,1436.76,700.68,42.99,1818.09,120.4,-47.23,12.0,3M India Ltd.,699.43,2.0541869808272453,6.146433524441332,0.023645694107552434,0.02992149001920989,2.0541869808272453,-0.39227574750830563
3,11.27,796.45,3/31/2015,1943.46,1866.73,1533.61,1533.61,362.79,108.34,1927.89,177.36,-4.3,12.0,3M India Ltd.,807.72,1.8986901401475758,13.413063933046104,0.056196152270098394,0.07064377514491951,1.8986901401475758,-0.02424447451511051
4,11.27,976.81,3/31/2016,2243.5,2059.83,1499.49,1499.49,466.28,194.76,2223.75,260.91,1.39,12.0,3M India Ltd.,988.0799999999999,1.5175795482147196,19.710954578576633,0.08758178752107926,0.12988416061460897,1.5175795482147196,0.005327507569660035
5,11.27,1215.13,3/31/2017,2507.32,2277.05,1985.58,1985.58,706.51,240.76,2457.85,364.92,12.01,12.0,3M India Ltd.,1226.4,1.6190313111545986,19.631441617742986,0.09795553023984377,0.12125424309269836,1.6190313111545986,0.03291132302970514
6,11.27,1525.41,3/31/2018,2624.03,2325.65,2194.37,2194.37,607.79,310.54,2580.41,29.42,17.99,12.0,3M India Ltd.,1536.68,1.4279941171877033,20.208501444672933,0.12034521645784974,0.1415166995538583,1.4279941171877033,0.6114887831407205
7,11.27,1848.26,3/31/2019,2841.59,2532.48,2560.51,2560.51,644.58,322.99,2808.76,267.32,-589.83,12.0,3M India Ltd.,1859.53,1.3769662226476584,17.36944281619549,0.11499380509548697,0.1261428387313465,1.3769662226476584,-2.2064566811312285
8,11.27,2063.49,3/31/2020,2923.06,2712.32,2720.19,2720.19,585.91,218.97,2875.74,218.33,1.42,12.0,3M India Ltd.,2074.7599999999998,1.3110865835084542,10.55399178700187,0.07614387948840995,0.08049805344479613,1.3110865835084542,0.006503916090321989
9,11.27,2210.24,3/31/2021,2524.59,2354.41,2976.68,2976.68,695.9,149.3,2497.72,312.06,-15.91,12.0,3M India Ltd.,2221.5099999999998,1.3399354493115043,6.720653969597256,0.05977451435709368,0.05015655025061479,1.3399354493115043,-0.05098378516951868
10,42.38,2555.67,12/31/2012,8033.41,7896.69,8590.88,8590.88,3972.09,137.41,8026.36,-50.22,-339.76,12.0,A B B India Ltd.,2598.05,3.3066646138449984,5.288966725043783,0.017119840126782252,0.015994868977334105,3.3066646138449984,6.765432098765432
11,42.38,2635.18,12/31/2013,8203.76,8039.85,9351.11,9351.11,4474.73,176.89,8196.77,330.09,-219.65,12.0,A B B India Ltd.,2677.56,3.49239979682995,6.6063879054064145,0.021580451812116232,0.01891647087885823,3.49239979682995,-0.6654245811748312
12,42.38,2769.6,12/31/2014,8174.19,7901.7,9181.42,9181.42,4103.16,228.51,8156.91,479.0,-147.66,12.0,A B B India Ltd.,2811.98,3.265108571184717,8.126302463033165,0.02801428482109034,0.024888307037473505,3.265108571184717,-0.30826722338204593
13,42.38,2966.17,12/31/2015,8683.74,8432.42,9989.65,9989.65,3928.48,299.88,8670.7,381.67,-76.39,12.0,A B B India Ltd.,3008.55,3.3204201359458874,9.967592361768958,0.03458544292848328,0.03001906973717798,3.3204201359458874,-0.20014672360940078
14,42.38,3244.32,12/31/2016,9305.09,8863.98,8474.06,8474.06,4041.14,374.47,9183.52,862.57,-68.14,12.0,A B B India Ltd.,3286.7000000000003,2.5782882526546382,11.393494994979767,0.04077630363956304,0.04419015206406375,2.5782882526546382,-0.07899648724161516
15,42.38,3564.51,12/31/2017,9505.68,9128.24,9614.37,9614.37,5509.48,419.95,6287.49,791.66,-320.53,12.0,A B B India Ltd.,3606.8900000000003,2.6655567538793807,11.642994380200115,0.0667913587138906,0.04367940905124308,2.6655567538793807,-0.4048834095445014
16,42.38,3964.94,12/31/2018,10976.07,10515.56,9605.0,9605.0,5198.98,510.89,6700.62,625.46,143.71,12.0,A B B India Ltd.,4007.32,2.3968637393569767,12.748919477356438,0.07624518328154709,0.05319000520562207,2.3968637393569767,0.22976689156780608
17,42.38,3477.73,12/31/2019,8333.08,8056.41,8094.01,8094.01,4236.9,303.4,7315.06,666.87,-390.68,12.0,A B B India Ltd.,3520.11,2.299362804003284,8.619048836542039,0.04147607811829294,0.03748451015009865,2.299362804003284,-0.5858413183978887
18,42.38,3564.0,12/31/2020,6007.36,5766.86,8001.73,8001.73,4059.74,219.22,5820.95,318.22,442.44,12.0,A B B India Ltd.,3606.38,2.2187706231733757,6.078671687398444,0.03766051933103703,0.02739657549055017,2.2187706231733757,1.3903588712211676
19,42.38,4002.81,12/31/2021,7264.2,6777.85,8415.17,8415.17,4104.77,519.71,6934.0,649.24,-2007.87,12.0,A B B India Ltd.,4045.19,2.080290418991444,12.847604191644892,0.07495096625324489,0.0617587048152325,2.080290418991444,-3.0926467870125065
20,187.75,7194.85,12/31/2012,12978.87,11897.66,12142.71,12142.71,3476.55,1061.19,12507.17,1577.0,-306.25,12.0,A C C Ltd.,7382.6,1.6447741987917535,14.374204209898952,0.08484653202922804,0.08739317664672878,1.6447741987917535,-0.1941978440076094
21,187.75,7636.89,12/31/2013,12976.46,11876.93,12351.72,12351.72,3675.19,1093.0,12457.82,1056.23,-857.74,12.0,A C C Ltd.,7824.64,1.578567192867659,13.96869376738099,0.08773605654921969,0.0884897002198884,1.578567192867659,-0.8120769150658474
22,187.75,8047.66,12/31/2014,13685.69,12528.68,12920.47,12920.47,3811.92,1168.29,13062.33,1331.7,-1436.69,12.0,A C C Ltd.,8235.41,1.568892137732062,14.186178951624754,0.0894396328985717,0.0904216332687588,1.568892137732062,-1.0788390778703911
23,187.75,8255.09,12/31/2015,13360.06,12615.27,13059.17,13059.17,3843.62,744.74,13230.05,1461.24,-948.17,12.0,A C C Ltd.,8442.84,1.546774545058298,8.820965457121064,0.05629154840684654,0.057028126596100674,1.546774545058298,-0.6488804029454436
24,187.79,8643.88,12/31/2016,12651.73,11987.69,13817.8,13817.8,4055.96,647.05,12433.82,1380.1,-539.1,12.0,A C C Ltd.,8831.67,1.5645738574924108,7.326473928486911,0.05203951802422747,0.046827280753810305,1.5645738574924108,-0.3906238678356641
25,187.79,9177.47,12/31/2017,14331.84,13431.29,15251.75,15251.75,4875.42,915.45,14037.81,1554.76,-384.58,12.0,A C C Ltd.,9365.26,1.6285452833130099,9.774955527128986,0.06521316359175684,0.060022620355041224,1.6285452833130099,-0.24735650518407984
26,187.79,10339.67,12/31/2018,15440.48,14058.83,16293.81,16293.81,4723.85,1506.63,14776.76,1118.08,-367.78,12.0,A C C Ltd.,10527.460000000001,1.5477437102586946,14.311429347629911,0.10195942818317412,0.09246640288551297,1.5477437102586946,-0.3289388952489983
27,187.79,11332.66,12/31/2019,15967.86,14508.14,17428.27,17428.27,4731.99,1358.91,15647.17,2248.35,-328.32,12.0,A C C Ltd.,11520.45,1.512811565520444,11.795632983086598,0.08684701450805482,0.07797159442675607,1.512811565520444,-0.14602708653012209
28,187.79,12470.16,12/31/2020,13996.63,12439.28,18455.26,18455.26,4865.99,1414.94,13778.74,2215.57,-536.59,12.0,A C C Ltd.,12657.95,1.4579975430460697,11.17827136305642,0.10269008632139079,0.07666865706579047,1.4579975430460697,-0.24219049725352843
29,187.79,14032.97,12/31/2021,16366.98,14720.96,21228.93,21228.93,6054.31,1820.27,16144.02,2831.62,-989.01,12.0,A C C Ltd.,14220.76,1.4928126204225372,12.800089446696239,0.11275196636277705,0.08574478318031102,1.4928126204225372,-0.34927356071789295
30,18.86,939.87,3/31/2012,1330.14,1200.96,1142.6,1142.6,160.66,150.91,1318.5,53.58,-56.05,12.0,A I A Engineering Ltd.,958.73,1.191784965527312,15.740615188843574,0.11445582100872204,0.13207596709259584,1.191784965527312,-1.0460992907801419
31,18.86,1064.86,3/31/2013,1663.33,1489.49,1430.84,1430.84,217.02,169.1,1644.88,165.44,-118.96,12.0,A I A Engineering Ltd.,1083.7199999999998,1.3203041376001183,15.603661462370354,0.10280385195272602,0.11818232646557267,1.3203041376001183,-0.7190522243713733
32,18.86,1293.19,3/31/2014,1876.25,1598.94,1692.18,1692.18,266.81,285.04,1844.63,379.58,-427.85,12.0,A I A Engineering Ltd.,1312.05,1.2897221904653025,21.72478182996075,0.15452421352791618,0.1684454372466286,1.2897221904653025,-1.1271668686442913
33,18.86,1632.78,3/31/2015,2286.67,1874.85,2024.52,2024.52,284.42,414.57,2150.44,324.69,-195.88,12.0,A I A Engineering Ltd.,1651.6399999999999,1.2257634835678477,25.100506163570756,0.19278380238462825,0.2047744650583842,1.2257634835678477,-0.6032831316024515
