,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity
0,,,,,,,,,,,,,,A E C Enterprises Ltd.,
1,,,,,,,,,,,,,,A E C Enterprises Ltd.,
2,,,,,,,,,,,,,,A E C Enterprises Ltd.,
3,,,,,,,,,,,,,,A E C Enterprises Ltd.,
4,,,,,,,,,,,,,,A E C Enterprises Ltd.,
5,,,,,,,,,,,,,,A E C Enterprises Ltd.,
6,0.1,0.34,3/31/1995,7.36,7.32,63.19,63.19,2.5,0.22,7.21,,,12.0,A E C Enterprises Ltd.,0.44000000000000006
7,29.94,30.95,3/31/1996,8.92,9.81,68.76,68.76,2.5,0.77,8.52,-1.24,-30.45,12.0,A E C Enterprises Ltd.,60.89
8,29.95,31.48,3/31/1997,13.09,16.36,79.9,79.9,4.2,0.52,11.14,-0.48,-8.72,12.0,A E C Enterprises Ltd.,61.43
9,29.95,9.47,6/30/1998,22.77,44.68,70.9,70.9,8.56,-22.01,22.5,-7.31,3.41,15.0,A E C Enterprises Ltd.,39.42
10,0.2,8.35,3/31/2012,1.97,0.11,38.36,38.36,1.94,1.86,,-0.1,-7.76,12.0,Abhinandan Tradex Ltd.,8.549999999999999
11,0.2,10.02,3/31/2013,1.8,0.13,47.88,47.88,9.79,1.67,,7.71,-7.77,12.0,Abhinandan Tradex Ltd.,10.219999999999999
12,0.2,4.27,3/31/2014,3.21,8.95,44.19,44.19,11.85,-5.74,,2.32,-1.82,12.0,Abhinandan Tradex Ltd.,4.47
13,0.2,3.89,3/31/2015,0.13,0.51,43.38,43.38,11.42,-0.38,,0.32,0.05,12.0,Abhinandan Tradex Ltd.,4.09
14,0.2,7.22,3/31/2016,0.38,0.59,45.59,45.59,13.54,-0.21,,-2.36,5.95,12.0,Abhinandan Tradex Ltd.,7.42
15,0.2,7.36,3/31/2017,0.72,0.58,45.96,45.96,33.54,0.14,,-0.15,0.64,12.0,Abhinandan Tradex Ltd.,7.5600000000000005
16,0.2,3.85,3/31/2018,0.7,4.21,40.27,40.27,31.36,-3.51,,0.69,1.32,12.0,Abhinandan Tradex Ltd.,4.05
17,0.2,4.01,3/31/2019,0.37,0.22,27.79,27.79,18.72,0.15,,2.44,10.06,12.0,Abhinandan Tradex Ltd.,4.21
18,0.2,4.03,3/31/2020,0.06,0.05,22.95,22.95,13.86,0.01,,-0.16,5.03,12.0,Abhinandan Tradex Ltd.,4.23
19,0.2,4.15,3/31/2021,0.21,0.08,22.92,22.92,13.71,0.13,0.01,0.0,0.17,12.0,Abhinandan Tradex Ltd.,4.3500000000000005
20,3.75,0.95,3/31/2009,0.21,0.19,5.79,5.79,1.04,0.02,0.14,0.51,0.23,12.0,Advance Powerinfra Tech Ltd.,4.7
21,3.75,0.94,3/31/2010,0.04,0.05,4.94,4.94,0.23,-0.01,,-0.67,,12.0,Advance Powerinfra Tech Ltd.,4.6899999999999995
22,3.75,0.94,3/31/2011,0.09,0.09,4.8,4.8,0.03,0.0,,0.03,,12.0,Advance Powerinfra Tech Ltd.,4.6899999999999995
23,11.64,4.4,6/30/2012,12.27,12.22,24.67,24.67,4.64,0.05,11.69,4.98,-16.5,15.0,Advance Powerinfra Tech Ltd.,16.04
24,11.64,4.48,3/31/2013,3.97,3.91,23.42,23.42,3.75,0.08,3.72,0.4,0.14,9.0,Advance Powerinfra Tech Ltd.,16.12
25,11.64,4.55,3/31/2014,13.27,13.05,27.24,27.24,7.71,0.08,13.03,9.84,-9.72,12.0,Advance Powerinfra Tech Ltd.,16.19
26,11.64,4.62,3/31/2015,12.85,12.33,22.83,22.83,5.8,0.07,11.94,-0.38,0.37,12.0,Advance Powerinfra Tech Ltd.,16.26
27,11.64,5.0,3/31/2016,11.32,10.7,23.82,23.82,6.56,0.38,10.62,-0.03,0.37,12.0,Advance Powerinfra Tech Ltd.,16.64
28,11.64,3.1,3/31/2017,13.96,14.4,19.22,19.22,3.02,-0.74,13.65,-3.03,2.11,12.0,Advance Powerinfra Tech Ltd.,14.74
29,11.64,-11.21,3/31/2018,71.05,85.26,57.56,57.56,55.67,-14.21,70.98,0.07,0.43,12.0,Advance Powerinfra Tech Ltd.,0.4299999999999997
30,,,,,,,,,,,,,,Allied Blenders & Distillers Pvt. Ltd.,
31,,,,,,,,,,,,,,Allied Blenders & Distillers Pvt. Ltd.,
32,,,,,,,,,,,,,,Allied Blenders & Distillers Pvt. Ltd.,
33,0.05,-10.24,3/31/2004,8.97,10.79,40.82,40.82,50.85,-1.82,8.96,,,12.0,Allied Blenders & Distillers Pvt. Ltd.,-10.19
34,0.05,-23.72,3/31/2005,6.56,20.04,25.07,25.07,48.7,-13.48,3.97,,,12.0,Allied Blenders & Distillers Pvt. Ltd.,-23.669999999999998
35,0.05,-29.05,3/31/2007,218.3,213.98,141.26,141.26,67.88,6.17,207.99,-0.85,-0.84,12.0,Allied Blenders & Distillers Pvt. Ltd.,-29.0
36,8.21,19.0,3/31/2008,297.96,301.89,155.58,155.58,54.54,-4.12,290.21,-9.28,-8.17,12.0,Allied Blenders & Distillers Pvt. Ltd.,27.21
37,47.11,250.36,3/31/2019,8946.86,8967.6,2689.42,2689.42,2083.81,10.32,8934.67,157.42,-161.07,12.0,Allied Blenders & Distillers Pvt. Ltd.,297.47
38,47.11,332.96,3/31/2020,8148.23,8115.76,2457.14,2457.14,1782.03,14.91,8130.36,592.34,-43.0,12.0,Allied Blenders & Distillers Pvt. Ltd.,380.07
39,47.11,338.32,3/31/2021,6417.49,6384.91,2358.52,2358.52,1721.81,5.71,6396.3,247.03,-59.31,12.0,Allied Blenders & Distillers Pvt. Ltd.,385.43
40,7.4,36.77,3/31/2007,216.98,211.93,172.88,172.88,52.83,5.48,215.26,6.9,-16.35,12.0,Anil Ltd.,44.17
