Company,Tone_sum,Tone_avg,Y,Flesch score
Advance Powerinfra Tech Ltd..pdf,1.033636364,0.1722727273,1,46.427882
Anil Ltd..pdf,1.514415584,0.2163450835,1,45.560032
Aplaya Creations Ltd..pdf,0.1664285714,0.01512987013,1,55.182292
Automobile Products Of India Ltd..pdf,1.8,0.9,1,59.756524
B P L Engineering Ltd..pdf,1.555168067,0.2591946779,1,48.003464
B S Refrigerators Ltd..pdf,0.3262984384,0.0407873048,1,50.143049
Banco Products (India) Ltd..pdf,0.3716738587,0.09291846468,1,37.275679
C F L Capital Financial Services Ltd..pdf,0.1282607506,0.009866211587,1,44.567856
G T C L Mobile-Com Technology Ltd..pdf,0.3,0.1,1,52.861925
Gujarat Optical Communication Ltd..pdf,1.701562882,0.1701562882,1,54.74857
India Glycols Ltd..pdf,2.564173502,0.1508337354,1,45.928314
India Securities Ltd. [Merged].pdf,-0.04545454545,-0.02272727273,1,47.559984
J B F Industries Ltd..pdf,-0.1518597966,-0.01518597966,1,50.761348
J K Paper Ltd..pdf,0.6402729529,0.09146756469,1,43.552879
Jayant Paper Mills Ltd..pdf,0,0,1,60.674777
Jetking Infotrain Ltd..pdf,0.5972727273,0.1990909091,1,57.364759
Jhagadia Copper Ltd..pdf,-0.162406015,-0.08120300752,1,40.010389
Kingfisher Airlines Ltd..pdf,0.6314652739,0.09020932484,1,64.685744
Mahendra Petrochemicals Ltd..pdf,-0.1636363636,-0.1636363636,1,56.163938
Micro Forge (India) Ltd..pdf,0,0,1,55.482968
Nachmo Knitex Ltd..pdf,1.053609626,0.1170677362,1,50.042358
Plethico Pharmaceuticals Ltd..pdf,1.276042422,0.05548010531,1,41.458814
Polar Pharma India Ltd..pdf,0.2166666667,0.07222222222,1,39.091937
Religare Enterprises Ltd..pdf,1.984433635,0.07349754205,1,47.355967
Securekloud Technologies Ltd..pdf,2.811203136,0.1124481254,1,43.240515
